Score = 96,A1.04,A1.06,A1.08,A1.10,B0.201,C0.110,C1.112
"Monday, 09:00 - 11:00",Moderne Databases practical,Webprogrammeren en databases seminar,Autonomous Agents 2 seminar,Compilerbouw seminar,Compilerbouw practical,Machine Learning lecture,
"Monday, 11:00 - 13:00",Bioinformatica practical,Programmeren in Java 2 practical,Informatie- en organisatieontwerp lecture,,Reflectie op de digitale cultuur seminar,Architectuur en computerorganisatie lecture,Bioinformatica lecture
"Monday, 13:00 - 15:00",Collectieve Intelligentie practical,Moderne Databases seminar,Project Genetic Algorithms practical,Collectieve Intelligentie seminar,Technology for games seminar,Databases 2 lecture,Netwerken en systeembeveiliging practical
"Monday, 15:00 - 17:00",Bioinformatica seminar,Data Mining practical,Calculus 2 seminar,Technology for games seminar,Collectieve Intelligentie practical,Compilerbouw lecture,Software engineering practical
"Tuesday, 09:00 - 11:00",,,Moderne Databases seminar,Databases 2 seminar,Project Numerical Recipes practical,Bioinformatica practical,Collectieve Intelligentie seminar
"Tuesday, 11:00 - 13:00",Reflectie op de digitale cultuur seminar,,Netwerken en systeembeveiliging practical,Analysemethoden en -technieken lecture,Algoritmen en complexiteit practical,Algoritmen en complexiteit practical,Autonomous Agents 2 lecture
"Tuesday, 13:00 - 15:00",Algoritmen en complexiteit seminar,Project Numerical Recipes practical,Compilerbouw practicum practical,Heuristieken 1 lecture,Calculus 2 lecture,Zoeken sturen en bewegen practical,Interactie-ontwerp lecture
"Tuesday, 15:00 - 17:00",Data Mining lecture,,Software engineering seminar,Webprogrammeren en databases lecture,Project Numerical Recipes practical,Bioinformatica lecture,Autonomous Agents 2 seminar
"Wednesday, 09:00 - 11:00",Autonomous Agents 2 practical,Advanced Heuristics practical,Project Genetic Algorithms practical,,Data Mining seminar,,Advanced Heuristics practical
"Wednesday, 11:00 - 13:00",Programmeren in Java 2 practical,Project Genetic Algorithms practical,Autonomous Agents 2 practical,Bioinformatica seminar,Moderne Databases practical,,Algoritmen en complexiteit lecture
"Wednesday, 13:00 - 15:00",Moderne Databases practical,Informatie- en organisatieontwerp lecture,Compilerbouw seminar,Webprogrammeren en databases practical,Compilerbouw practicum practical,Zoeken sturen en bewegen practical,Data Mining seminar
"Wednesday, 15:00 - 17:00",Calculus 2 seminar,Heuristieken 1 seminar,Bioinformatica seminar,,Lineaire Algebra lecture,Data Mining practical,Webprogrammeren en databases lecture
"Thursday, 09:00 - 11:00",Architectuur en computerorganisatie lecture,Interactie-ontwerp lecture,Software engineering seminar,Kansrekenen 2 lecture,Collectieve Intelligentie seminar,Advanced Heuristics lecture,Zoeken sturen en bewegen practical
"Thursday, 11:00 - 13:00",Technology for games lecture,Lineaire Algebra lecture,Collectieve Intelligentie lecture,Software engineering lecture,Compilerbouw practical,Calculus 2 seminar,Heuristieken 2 seminar
"Thursday, 13:00 - 15:00",Autonomous Agents 2 seminar,Programmeren in Java 2 practical,Data Mining lecture,Reflectie op de digitale cultuur lecture,Collectieve Intelligentie lecture,,Moderne Databases lecture
"Thursday, 15:00 - 17:00",Data Mining practical,Programmeren in Java 2 practical,Programmeren in Java 2 practical,Autonomous Agents 2 practical,Software engineering practical,Machine Learning lecture,Bioinformatica practical
"Friday, 09:00 - 11:00",,Netwerken en systeembeveiliging practical,,Compilerbouw lecture,,Collectieve Intelligentie seminar,Webprogrammeren en databases practical
"Friday, 11:00 - 13:00",Programmeren in Java 2 practical,Autonomous Agents 2 lecture,Moderne Databases seminar,Webprogrammeren en databases seminar,Reflectie op de digitale cultuur seminar,Netwerken en systeembeveiliging practical,Databases 2 seminar
"Friday, 13:00 - 15:00",Technology for games lecture,Heuristieken 2 seminar,Reflectie op de digitale cultuur lecture,,Bioinformatica lecture,Algoritmen en complexiteit seminar,Collectieve Intelligentie lecture
"Friday, 15:00 - 17:00",Compilerbouw practicum practical,Kansrekenen 2 lecture,Heuristieken 1 seminar,Data Mining seminar,Heuristieken 2 lecture,Collectieve Intelligentie practical,Collectieve Intelligentie practical
